,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,58,4628135313,سیگنال ها و سیستم ها,نظري,3,0,163543326,,شنبه از 07:30 تا 15:00,زهرا مقصود زاده,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,59,90881,آشنایی با دفاع مقدس,نظري,2,0,1639088102,خواهران,شنبه از 12:30 تا 17:30,امیرعلی بنی احمد,,25,,1404/05/27 از 13:00 تا 14:00,دانشکده علوم انسانی-113,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,60,90881,آشنایی با دفاع مقدس,نظري,2,0,1639088101,خواهران,شنبه از 12:30 تا 17:30,محمد آزاد,,25,,1404/05/27 از 13:00 تا 14:00,دانشکده علوم انسانی-206,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,61,4628107851,آمار و احتمال مهندسی,نظري,3,0,163543325,,دوشنبه از 07:30 تا 12:00 دوشنبه از از ...,محمدعلی اسدزاده,,55,,1404/05/29 از 10:30 تا 12:30,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,62,4628129896,ریاضیات مهندسی,نظري,3,0,163543324,,سه شنبه از 07:30 تا 12:00 سه شنبه از ...,تاج الدین دریکوند,,55,,1404/05/25 از 10:30 تا 12:30,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,63,7000031531,فیزیک 1,نظري,3,0,16301111130023,,سه شنبه از 07:30 تا 12:00,سیده نسرین حسینی مطلق,,40,,1404/05/25 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي فيزيک(7116358),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,64,90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061002,برادران,يكشنبه از 12:30 تا 17:30,دکتر مرتضی کشاورز,,25,,1404/05/27 از 14:30 تا 15:30,دانشکده علوم انسانی-110,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,65,90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061001,خواهران,شنبه از 12:30 تا 17:30,دکتر مرتضی کشاورز,,25,,1404/05/27 از 14:30 تا 15:30,دانشکده علوم انسانی-210,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,66,100001,کارآموزی طرح پویش (2) کاردانی و کارشناسی,طرح پویش,0,2,16305,خواهران,,مریم خیرده,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي تربيت بدني (علوم ورزشي)(7116343),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,67,100000,کارآموزی طرح پویش (1) کاردانی و کارشناسی,طرح پویش,0,2,16304,برادران,,مریم خیرده,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي تربيت بدني (علوم ورزشي)(7116343),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
